"File name","What the patient should say"
"case-1/opening-01.mp3","Hey, I was just wondering if my antibiotics are ready yet?"
"case-1/concern-01.mp3","I usually feel better after a few days. Can I stop it then?"
"case-1/patient-question-01.mp3","If it makes me feel sick, is there anything I can do?"
"case-1/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-1/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-1/unknown-01.mp3","Sorry, I’m not quite sure what you mean. Could you explain that another way?"
"case-1/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-1/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-1/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-1/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-1/intent-wrong-dosage-form-advice-01.mp3","This is a capsule, isn’t it? What exactly would I need to shake or refrigerate?"
"case-1/intent-wrong-dosage-form-advice-02.mp3","I thought these were capsules. Could you check those storage instructions?"
"case-1/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-1/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-1/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-1/intent-previous-use-01.mp3","No, I don’t think I’ve taken erythromycin before."
"case-1/intent-previous-use-02.mp3","This is my first supply of this antibiotic."
"case-1/intent-medical-conditions-01.mp3","The pharmacy has my high blood pressure and high cholesterol on record."
"case-1/intent-medical-conditions-02.mp3","The pharmacy has my blood pressure and cholesterol history on file."
"case-1/intent-current-symptoms-01.mp3","No chest pain or breathing problems. I just have the infection my doctor examined me for."
"case-1/intent-current-symptoms-02.mp3","Nothing like chest pain or breathing trouble — just the symptoms I saw my doctor about."
"case-1/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-1/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
"case-1/intent-side-effect-explanation-03.mp3","All right. Is there anything that would mean I need urgent help?"
"case-1/intent-medicine-explanation-01.mp3","Okay, that helps me understand what it’s for."
